Date & Time,use [kW],gen [kW],FurnaceHRV [kW],CellarOutlets [kW],WashingMachine [kW],FridgeRange [kW],DisposalDishwasher [kW],KitchenLights [kW],BedroomOutlets [kW],BedroomLights [kW],MasterOutlets [kW],MasterLights [kW],DuctHeaterHRV [kW]
2014-01-01 00:00:00,0.0,0.0,0.195337778,0.083204444,0.005686111,0.006891667,0.005568889,0.012153889,0.020451667,0.004899444,0.046563333,0.010393333,0.382681667
2014-01-01 00:30:00,0.0,0.0,0.182158333,0.036138889,0.005678889,0.094138333,0.005411667,0.0052,0.020570556,0.008868889,0.051676667,0.009883889,0.275576111
2014-01-01 01:00:00,0.0,0.0,0.134808333,0.047033889,0.005635,0.014786111,0.00551,0.003173333,0.020516111,0.004901111,0.053618889,0.010182778,0.346066667
2014-01-01 01:30:00,0.0,0.0,0.182125,0.071406667,0.005671667,0.082081111,0.005445,0.003071667,0.020506111,0.004844444,0.050543333,0.009995556,0.310117222
2014-01-01 02:00:00,0.0,0.0,0.092988333,0.014202778,0.00557,0.031901111,0.005401111,0.003153889,0.020411667,0.004841111,0.049051667,0.009926667,0.309781111
2014-01-01 02:30:00,0.0,0.0,0.130656111,0.070753333,0.005601667,0.054812778,0.005457222,0.003076111,0.020384444,0.00484,0.048783333,0.010077778,0.341286111
2014-01-01 03:00:00,0.0,0.0,0.054559444,0.039048333,0.005543333,0.040308333,0.005352222,0.003192222,0.020511667,0.004833889,0.048654444,0.009785556,0.268757778
2014-01-01 03:30:00,0.0,0.0,0.082499444,0.043964444,0.005576111,0.049228889,0.005512778,0.003069444,0.020552778,0.004858333,0.048792778,0.010280556,0.378406111
2014-01-01 04:00:00,0.0,0.0,0.115085,0.069578889,0.005597222,0.037834444,0.005339444,0.003251111,0.020647222,0.004839444,0.048828333,0.009682222,0.231073889
2014-01-01 04:30:00,0.0,0.0,0.033995556,0.007424444,0.005532222,0.051721111,0.005597778,0.005637778,0.020636111,0.0049,0.048786111,0.010488333,0.418342778
2014-01-01 05:00:00,0.0,0.0,0.08577,0.067398889,0.005601667,0.028158333,0.005308889,0.003345556,0.020737778,0.004865,0.047451111,0.009596111,0.194957778
2014-01-01 05:30:00,0.0,0.0,0.088577222,0.051055556,0.005566111,0.060265,0.005663333,0.002962778,0.020489444,0.004891111,0.046728333,0.010670556,0.462992222
2014-01-01 06:00:00,0.0,0.0,0.236577222,0.020465556,0.005733333,0.012634444,0.005318889,0.0034,0.020813889,0.004842222,0.045201111,0.009471667,0.152496667
2014-01-01 06:30:00,0.0,0.0,0.690105556,0.078319444,0.00613,0.080910556,0.005888889,0.002851111,0.020662778,0.004914444,0.046100556,0.010947778,0.481012222
2014-01-01 07:00:00,0.0,0.0,0.645578889,0.028827778,0.006112222,0.018681111,0.005361111,0.00339,0.020769444,0.004831667,0.046375,0.009387222,0.108771667
2014-01-01 07:30:00,0.0,0.0,0.573048333,0.044523889,0.006023333,0.075083333,0.005858333,0.002812222,0.020856667,0.007322222,0.045835556,0.01102,0.513170556
2014-01-01 08:00:00,0.0,0.0,0.592766667,0.079576667,0.006055556,0.038977222,0.005079444,0.051691111,0.027404444,0.00604,0.051837222,0.06234,0.062218889
2014-01-01 08:30:00,0.0,0.0,0.521164444,0.010186667,0.005942222,0.055714444,0.005702222,0.25409,0.026731111,0.004936667,0.050787778,0.011069444,0.554987222
2014-01-01 09:00:00,0.0,0.0,0.563002222,0.078432222,0.005993889,0.074048333,0.005070556,0.238891111,0.027104444,0.004737778,0.051430556,0.008819444,0.036606111
2014-01-01 09:30:00,0.0,0.0,0.600661667,0.042062778,0.005998889,0.042467222,0.005863333,0.002761667,0.022361667,0.019489444,0.051058333,0.046578889,0.575283333
2014-01-01 10:00:00,0.0,0.0,0.499163333,0.044128333,0.005940556,0.062370556,0.004808333,0.003248889,0.012980556,0.066383889,0.052391111,0.167906111,0.038411111
2014-01-01 10:30:00,0.0,0.0,0.138334444,0.073493333,0.094268333,0.052166667,0.054229444,0.002788333,0.011717222,0.004845,0.046566667,0.010911667,0.566698889
2014-01-01 11:00:00,0.0,0.0,0.051882778,0.011439444,0.144757222,0.050144444,0.746257778,0.003136111,0.012664444,0.004308333,0.042769444,0.008725,0.038511667
2014-01-01 11:30:00,0.0,0.0,0.062891667,0.082459444,0.113875556,0.084619444,0.352852222,0.002701667,0.013569444,0.004661111,0.03952,0.01093,0.571266667
2014-01-01 12:00:00,0.0,0.0,0.102829444,0.031888333,0.005546667,0.059995,0.005025,0.00348,0.023377222,0.004707222,0.040011111,0.088175,0.0339
2014-01-01 12:30:00,0.0,0.0,0.054543333,0.053974444,0.005486667,0.021731667,0.005703889,0.002885556,0.022970556,0.004872222,0.039777778,0.021765,0.557871667
2014-01-01 13:00:00,0.0,0.0,0.154086667,0.062461111,0.005612222,0.092938333,0.004983333,0.003293889,0.021939444,0.006472778,0.052849444,0.008726111,0.034123889
2014-01-01 13:30:00,0.0,0.0,0.071372222,0.022223889,0.016423333,0.036297222,0.005740556,0.00284,0.020083333,0.004912778,0.05749,0.010788333,0.556129444
2014-01-01 14:00:00,0.0,0.0,0.184250556,0.082530556,0.164801111,0.059592778,0.004975,0.003297778,0.021072222,0.056528889,0.04335,0.008746667,0.028187222
2014-01-01 14:30:00,0.0,0.0,0.709452778,0.016313889,0.14395,0.078263889,0.005476667,0.002570556,0.019667778,0.314695556,0.038281111,0.038317778,0.574439444
2014-01-01 15:00:00,0.0,0.0,0.558508333,0.060900556,0.011224444,0.010497222,0.00476,0.003323333,0.016923889,0.215763889,0.036566667,0.008833333,0.031581667
2014-01-01 15:30:00,0.0,0.0,0.614067778,0.102345556,0.127378333,0.116398333,0.005522222,0.002612222,0.034922778,0.077363889,0.035616111,0.212725,0.561835
2014-01-01 16:00:00,0.0,0.0,0.533529444,0.064127778,0.153873889,0.036248889,0.004738889,0.149671111,0.039352778,0.027364444,0.038569444,0.103598333,0.030068333
2014-01-01 16:30:00,0.0,0.0,0.562610556,0.115551111,0.009425556,0.101905556,0.005426667,0.249887222,0.039194444,0.004768333,0.038125556,0.010875556,0.535582222
2014-01-01 17:00:00,0.0,0.0,0.54488,0.075323889,0.128733889,0.068051667,0.004910556,0.249755,0.039561667,0.004658333,0.038637778,0.008962778,0.067165556
2014-01-01 17:30:00,0.0,0.0,0.622973889,0.051725,0.145342222,0.03125,0.005451111,0.252772222,0.039648889,0.006982222,0.040285,0.097375,0.520818333
2014-01-01 18:00:00,0.0,0.0,0.448922222,0.045747778,0.005894444,0.125758333,0.004642778,0.25443,0.03985,0.011822778,0.042023889,0.255869444,0.100341111
2014-01-01 18:30:00,0.0,0.0,0.132404444,0.078261111,0.005615556,0.0372,0.004981111,0.254537222,0.040141111,0.020318889,0.040033333,0.262792778,0.496636111
2014-01-01 19:00:00,0.0,0.0,0.108935556,0.013413889,0.005658333,0.120502222,0.004394444,0.256178333,0.031013333,0.065606111,0.04058,0.262798333,0.12269
2014-01-01 19:30:00,0.0,0.0,0.139362778,0.082696111,0.005632222,0.111287222,0.00517,0.256217222,0.022748333,0.023546111,0.039705556,0.067467778,0.461606667
2014-01-01 20:00:00,0.0,0.0,0.094052222,0.027533333,0.005608889,0.108448333,0.004882778,0.256898333,0.024024444,0.004776111,0.054976111,0.009467222,0.164994444
2014-01-01 20:30:00,0.0,0.0,0.122044444,0.059446111,0.005623889,0.138202778,0.008600556,0.252568333,0.023932222,0.004832222,0.052003333,0.010616667,0.431842222
2014-01-01 21:00:00,0.0,0.0,0.124163333,0.056362222,0.005658333,0.209431667,0.005358333,0.017547778,0.02415,0.012118333,0.054324444,0.036148889,0.194552222
2014-01-01 21:30:00,0.0,0.0,0.096300556,0.026252222,0.005623333,0.130559444,0.005555,0.051061667,0.023729444,0.021867778,0.052453333,0.010383333,0.399551667
2014-01-01 22:00:00,0.0,0.0,0.155921667,0.079721111,0.00567,0.081773889,0.005412222,0.003166111,0.023669444,0.004887778,0.053980556,0.009676667,0.230364444
2014-01-01 22:30:00,0.0,0.0,0.158684444,0.019642778,0.005666111,0.066070556,0.005592778,0.003053889,0.023643889,0.004917222,0.052828889,0.01025,0.362657222
2014-01-01 23:00:00,0.0,0.0,0.196883889,0.067163333,0.005683333,0.033275556,0.005454444,0.003205,0.022086111,0.004865,0.047370556,0.009892778,0.277971667
2014-01-01 23:30:00,0.0,0.0,0.12367,0.051918333,0.005638333,0.089881111,0.005535556,0.003057778,0.020751667,0.004888333,0.046258889,0.01018,0.334749444
2014-01-02 00:00:00,0.0,0.0,0.160338333,0.035783333,0.005657778,0.014000556,0.005491667,0.003209444,0.020528889,0.004880556,0.045793889,0.010071111,0.321410556
2014-01-02 00:30:00,0.0,0.0,0.107958333,0.082056111,0.005608889,0.078531667,0.005452778,0.003144444,0.020592222,0.004860556,0.046446111,0.009985,0.300459444
2014-01-02 01:00:00,0.0,0.0,0.192848889,0.006085556,0.005699444,0.031925556,0.005560556,0.003141667,0.020608889,0.004894444,0.045978333,0.010237222,0.359844444
2014-01-02 01:30:00,0.0,0.0,0.104900556,0.082567778,0.005588333,0.058411111,0.005343889,0.004246667,0.02046,0.004823889,0.04573,0.009703333,0.262295556
2014-01-02 02:00:00,0.0,0.0,0.164626667,0.030396667,0.005641667,0.038006667,0.005556667,0.003067222,0.020422222,0.004855556,0.045032222,0.01031,0.400932778
2014-01-02 02:30:00,0.0,0.0,0.079163333,0.046114444,0.005562222,0.053234444,0.005281667,0.003233889,0.020469444,0.004795,0.045003333,0.009511667,0.221381111
2014-01-02 03:00:00,0.0,0.0,0.034263333,0.068762222,0.005516667,0.033417778,0.005552778,0.003056667,0.020347778,0.004848889,0.045037222,0.010372222,0.423877222
2014-01-02 03:30:00,0.0,0.0,0.084768889,0.013558333,0.005628333,0.05794,0.005327778,0.003316667,0.020876111,0.004856111,0.045906111,0.009551111,0.186204444
2014-01-02 04:00:00,0.0,0.0,0.098623889,0.079453889,0.005612222,0.014020556,0.005716111,0.003088333,0.020768889,0.004927778,0.04615,0.010716111,0.467722222
2014-01-02 04:30:00,0.0,0.0,0.022363889,0.024803889,0.005555556,0.080955556,0.005256111,0.003329444,0.020927778,0.004841667,0.04907,0.009358889,0.144349444
2014-01-02 05:00:00,0.0,0.0,0.097982222,0.056428333,0.005627222,0.005889444,0.005796667,0.003053889,0.020746667,0.004978889,0.048503333,0.010970556,0.522809444
2014-01-02 05:30:00,0.0,0.0,0.082658889,0.058182778,0.005609444,0.088688889,0.005198333,0.003350556,0.020780556,0.004813333,0.047777222,0.009157778,0.101353333
2014-01-02 06:00:00,0.0,0.0,0.234888333,0.013718889,0.005731111,0.006086667,0.005905556,0.002966111,0.020578889,0.004968333,0.048108889,0.011174444,0.572425556
2014-01-02 06:30:00,0.0,0.0,0.291499444,0.068021667,0.005805,0.063077222,0.005178333,0.003231111,0.020862778,0.004792222,0.048306111,0.008928333,0.056243889
2014-01-02 07:00:00,0.0,0.0,0.226728889,0.040889444,0.005694444,0.038693889,0.005910556,0.002795,0.020571111,0.004935,0.047951111,0.01122,0.60273
2014-01-02 07:30:00,0.0,0.0,0.231445,0.034931111,0.005726667,0.061725556,0.00503,0.003341667,0.019671667,0.054722222,0.053508333,0.016853333,0.037205
2014-01-02 08:00:00,0.0,0.0,0.211602222,0.080936667,0.005672222,0.040661667,0.005622778,0.095983333,0.013251111,0.062476111,0.052872778,0.057071111,0.626606667
2014-01-02 08:30:00,0.0,0.0,0.179265556,0.008832778,0.005686667,0.102077778,0.004575556,0.252072778,0.013566667,0.012087222,0.040703333,0.010977222,0.036901667
2014-01-02 09:00:00,0.0,0.0,0.120147778,0.075641667,0.005595,0.06833,0.005248889,0.151315,0.013649444,0.005824444,0.040633333,0.2607,0.628840556
2014-01-02 09:30:00,0.0,0.0,0.096241667,0.043480556,0.005591111,0.017397778,0.004676111,0.003376111,0.013695,0.004486111,0.040778333,0.256676111,0.038312778
2014-01-02 10:00:00,0.0,0.0,0.202603333,0.040462222,0.005662778,0.091498333,0.005443889,0.002583333,0.013753889,0.087853889,0.040584444,0.26011,0.635611667
2014-01-02 10:30:00,0.0,0.0,0.144276111,0.068371667,0.005613889,0.011003333,0.004674444,0.003427778,0.013663333,0.017090556,0.040776667,0.257153333,0.037834444
2014-01-02 11:00:00,0.0,0.0,0.059947778,0.010122222,0.005533333,0.086851667,0.005546111,0.002681667,0.013613889,0.004642778,0.040128889,0.261322222,0.620222778
2014-01-02 11:30:00,0.0,0.0,0.166441111,0.069898889,0.005664444,0.014531667,0.004645,0.003459444,0.013411667,0.050817778,0.040809444,0.258793333,0.029431111
2014-01-02 12:00:00,0.0,0.0,0.17334,0.043472778,0.122926667,0.095396667,0.005784444,0.002703889,0.013378889,0.071817778,0.040525556,0.095769444,0.615218889
2014-01-02 12:30:00,0.0,0.0,0.100207222,0.030473333,0.164567778,0.054625556,0.005166667,0.003416667,0.013926667,0.004813333,0.040687222,0.008943333,0.033450556
2014-01-02 13:00:00,0.0,0.0,0.13015,0.079981667,0.005551667,0.045429444,0.00595,0.002785556,0.013534444,0.013533333,0.040141667,0.011345556,0.631029444
2014-01-02 13:30:00,0.0,0.0,0.115873333,0.010567778,0.005612222,0.058101667,0.721008333,0.003063333,0.013706111,0.054151111,0.040467778,0.009087778,0.111997778
2014-01-02 14:00:00,0.0,0.0,0.225533333,0.062961111,0.005680556,0.04814,0.540341111,0.002646111,0.013932778,0.004618889,0.040253889,0.011267222,0.618558889
2014-01-02 14:30:00,0.0,0.0,0.205052778,0.055431667,0.005698889,0.055651111,0.042104444,0.003383889,0.01389,0.004773333,0.040544444,0.008874444,0.033378889
2014-01-02 15:00:00,0.0,0.0,0.169352222,0.029852778,0.005643889,0.048263333,0.005861667,0.002855556,0.013731111,0.004953889,0.040346667,0.011223333,0.582887222
2014-01-02 15:30:00,0.0,0.0,0.243362778,0.082994444,0.005738333,0.052756667,0.005134444,0.003414444,0.013846111,0.004822778,0.040685,0.009001667,0.049377778
2014-01-02 16:00:00,0.0,0.0,0.145102778,0.014515,0.005632778,0.055788889,0.005832222,0.002884444,0.016393889,0.004961111,0.042822222,0.011078333,0.549904444
2014-01-02 16:30:00,0.0,0.0,0.210498889,0.070973889,0.00571,0.049191111,0.005177778,0.003382778,0.016853889,0.004824444,0.043623889,0.009080556,0.07985
2014-01-02 17:00:00,0.0,0.0,0.160307778,0.048147778,0.005638333,0.058575556,0.005555556,0.106664444,0.016568333,0.004876111,0.042873889,0.010873889,0.522671667
2014-01-02 17:30:00,0.0,0.0,0.176031111,0.035560556,0.005717778,0.043715556,0.003856667,0.664047222,0.016663889,0.005082222,0.043656111,0.05576,0.117362222
2014-01-02 18:00:00,0.0,0.0,0.159856667,0.079123889,0.005655556,0.090832778,0.005022222,0.441095556,0.016486667,0.004724444,0.043310556,0.010690556,0.487718333
2014-01-02 18:30:00,0.0,0.0,0.202860556,0.010217778,0.005713333,0.046537222,0.005012778,0.145042222,0.016688889,0.004773333,0.043253889,0.009287222,0.145750556
2014-01-02 19:00:00,0.0,0.0,0.190875556,0.070453889,0.005672222,0.117751667,0.005595,0.002805,0.026047222,0.032025,0.043737222,0.057189444,0.466355
